id,code,name,rating
188,3997,Nikhila Vimal,76
189,4005,John Brittas,38.4
190,4006,Ineya,31.35
191,4027,Vipin Atley,63.4
192,4035,Mansi Sharma,39.36
193,4044,Anushka Shetty,56.39
194,4046,Jewel Mary,68.76
195,4049,Poojitha Menon,45.78
196,4054,Chinnu Kuruvila,74.62
197,4087,Radhika Apte,49.2
198,4094,Sijoy Varghese,44.72
199,4117,Sana Altaf,59.86
200,4142,Lima,33.21
201,4143,Gayathri (New),33.21
202,4168,Vijayakumar,64.5
203,4305,Sidharth Shiva,27.2
204,4349,Iniya,67.23
205,4533,Murali Gopy,62.88
206,4604,Abhirami,73.05
207,4605,Abbi (Kalabhavan Abi),17.2
208,4619,Aditi Rao,84
209,4630,Aishwarya,72.14
210,4635,Ajith Kumar,78.11
211,4642,Alencier,68.8
212,4654,Allu Arjun,69.79
213,4657,Alphy Panjikkaran,77.43
214,4661,Amala,76.54
215,4662,Amala Paul,65.19
216,4681,Ambili Devi,84.6
217,4704,Ananya,51.54
218,4714,Anil Murali,62.7
219,4722,Aniyappan,77.76
220,4726,Anjala Zaveri,79.8
221,4732,Ann Augustine,57.7
222,4737,Anoop,16.6
223,4738,Anoop Chandran,24.75
224,4739,Anoop Menon,57.27
225,4744,Ansil,36.48
226,4757,Aparna Nair,38.67
227,4762,Arathi (New),92
228,4765,Arathi Sasikumar,78.02
229,4767,Aravind,52.81
230,4769,Aravind Swamy,51.84
231,4774,Archana Kavi,43.67
232,4777,Arjun Lal,69.6
233,4783,Arya,70.52
234,4793,Ashish Vidyarthi,53.25
235,4800,Asif Ali,65.92
236,4806,Punya Elizabeth,76.2
237,4809,Atul Kulkarni,42.22
238,4829,Babu Antony,61.07
239,4833,Babu Namboothiri,29.24
240,4847,Baby Anikha,67.86
241,4870,Nazriya Nazim,72.48
242,4879,Manjima Mohan,73.41
243,4886,Baby Niveditha,44
244,4913,Shamlee (Baby Shamili),57.51
245,4948,Bala,45.99
246,4980,Bhama,64.48
247,4987,Anupama Parameswaran,70.49
248,4989,Bharathi Vishnuvardhan,86.4
249,4997,Bhoomika Chawla,64.31
250,5006,Bijukkuttan,61.02
251,5010,Bindu Krishna,56.7
252,5040,CK Babu,40.5
253,5064,Chandra Lakshman,72.9
254,5079,Charly,48.72
255,5080,Charmi,67.41
256,5081,Charmila,57.42
257,5082,Charuhasan,61.1
258,5093,Chippy,81.7
259,5094,Chiranjeevi,78.26
260,5116,Daniel Balaji,42.9
261,5119,Darshan,50.63
262,5127,Deepa Nair,83.66
263,5138,Devan,24.6
264,5142,Devayani,47.07
265,5144,Devi Ajith,36.08
266,5156,Dhanya Mary Varghese,53.52
267,5159,Dharmajan Bolgatty,51.25
268,5170,Dinesh Panicker,17.2
269,5175,Divya Unni,49.33
270,5190,Rayan,57.75
271,5204,Eva Pavithran,68.88
272,5206,Fahad Fazil,66.71
273,5221,Ganesh Kumar,31.5
274,5224,Gautham,32.8
275,5228,Gayatri Jayaram,57.6
276,5233,Geetha Vijayan,8
277,5235,Geethu Mohandas,69.14
278,5238,Genelia D\'Souza,61.07
279,5266,Gopichand,52
280,5267,Gopika,80.36
281,5270,Gowri Munjal,80.75
282,5272,Gouthami,58.58
283,5273,Govind Padmasoorya,46.12
284,5289,Harikrishnan,54.31
285,5292,Haripriya,67.23
286,5296,Harishree Ashokan,46.28
287,5312,Honey Rose,61.7
288,5316,IM Vijayan,87.4
289,5328,Indraja,75.2
290,5329,Indrans,57.8
291,5334,Irshad,39.77
292,5340,J Aparna,66.99
293,5352,Jagadish,39.33
294,5360,Jain George,52.65
295,5386,Jayan Cherthala,17.16
296,5392,Jayaprada,73.35
297,5400,Jayashree Sivadas,67.86
298,5414,Jijoy Rajagopal,61.32
299,5418,Jishnu Raghavan,54.94
300,5424,John,17.16
301,5435,Jomol,31.02
302,5446,Joy Mathew,48.36
303,5459,Jyothika,82.64
304,5462,Jyothirmayi,59.02
305,5467,K Kaladharan,54.45
306,5493,KPAC Leela,34.4
307,5519,Kailash,49.26
308,5531,Kalabhavan Prajod,33
309,5534,Kalabhavan Shajohn,49.39
310,5557,Kalidas,63.61
311,5573,Kamalini Mukherjee,58.11
312,5588,Kaniha,64.12
313,5603,Sudheer Karamana,55.78
314,5609,Karthika Mathew,83.91
315,5610,Karthika Nair,52.19
316,5619,Katrina Kaif,70
317,5620,Kaushik Babu,47.65
318,5622,Kaveri,31.02
319,5643,Khushboo Sunder,91.2
320,5648,Kiran Rathod,62.62
321,5651,Kishor Satya,84.6
322,5660,Kollam Ajith,43.11
323,5665,Kollam Thulasi,49.2
324,5689,Krishna,42.05
325,5717,Kunchacko Boban,64.96
326,5739,Lakshana,24
327,5746,Lakshmi Gopalaswamy,59.24
328,5748,Lakshmi Menon,38.58
329,5750,Raai Laxmi,67.51
330,5754,Lakshmi Sharma,58.23
331,5756,Lakshmipriya,41.58
332,5768,Devadas,59.69
333,5769,Laya,86.5
334,5783,Lena,55.21
335,5784,Lishoy,48.16
336,5813,MR Gopakumar,51.6
337,5841,Madhu Warrier,77.76
338,5851,Mahalakshmi,46.42
339,5853,Mahi Vij,86.4
340,5856,Mythili Balachandran,52.1
341,5865,Mallika Kapoor,50.25
342,5872,Mamtha Mohandas,66.57
343,5877,Manasa,61
344,5886,Manikuttan,43.96
345,5889,Manisha Koirala,50.22
346,5892,Divyadarshan,40
347,5898,Manju Warrier,68.98
348,5911,Manoj Kumar,35.1
349,5915,Manya,85.71
350,5940,Arun Kumar,44.12
351,5942,Master Aswin,79.8
352,5948,Master Badusha,43.03
353,5960,Ganapathi (Master Ganapathi),79.66
354,6007,Siddharth Lama,33.21
355,6036,Maya Viswanath,41.31
356,6046,Meenakshi,48.69
357,6053,Meera Nandan,46.02
358,6054,Meera Vasudev,56.87
359,6056,Kavya Suresh,43
360,6058,Richard Joy Thomas,35.1
361,6059,Meghanadhan,16.2
362,6061,Meghna Raj,49.5
363,6074,Midhun Ramesh,45.58
364,6075,Shalu Kurian,20.95
365,6078,Mini Nair,88.36
366,6088,Mithra Kurian,51.65
367,6098,Mohini,74.16
368,6110,Muktha George,50.94
369,6116,Munna Simon,55.9
370,6150,Nadiya Moithu,47.91
371,6151,Nafisa Ali,85.5
372,6153,Nagarjuna,47.62
373,6156,Nagma,69.3
