id,code,name,rating
201,1881,Captain Raju,67.82
202,1888,Cochin Haneefa,76.78
203,1895,Das,52.5
204,1901,Deepu Karunakaran,57.75
205,1913,Dr. Biju,66
206,1916,Kathal Dhandapaani,49.8
207,1926,Fazil,77.4
208,1953,Gopalji,75.53
209,1958,Govindankutty Adoor,55.88
210,1960,Hakkim Rawther,77.41
211,1985,JD Chakravarthy,72.18
212,1994,James,79.03
213,2003,Jayasurya,61.4
214,2007,Jeethu Joseph,66.58
215,2013,Johny Antony,72.23
216,2026,Joshy Mathew,61.56
217,2028,Joy,89.3
218,2034,K Madhu,48.36
219,2059,KB Madhu,28.86
220,2061,KG George,40
221,2065,Virginia Rodriguez,55.9
222,2098,Mini Richard,35.2
223,2103,Kannan,57.75
224,2117,Krish,30
225,2128,Lal,64.19
226,2129,Lal Jose,70.15
227,2134,Lijo Jose Pellissery,72.04
228,2136,Lohithadas,69.92
229,2141,Orma Bose,81.78
230,2146,MA Nishad,47.36
231,2153,MG Sasi,57.13
232,2165,Bilas Nair,51.9
233,2167,MS Gupta,52
234,2174,Madhupal,61.62
235,2175,Mahesh,63.98
236,2179,Majeed,59.78
237,2181,Major Ravi,70.92
238,2186,Mani C Kappan,55.22
239,2191,Hari Narayanan,67.34
240,2192,Martin Prakkat,70.98
241,2208,Mukundan,59.45
242,2217,Ajay Natrraj,63.2
243,2220,Sooryakanth,44.55
244,2233,Nasser,59.46
245,2246,Sudhi Kopa,65.32
246,2261,Sharafudeen,68.46
247,2266,P Sreekumar,61.31
248,2268,P Sukumar (Kiran),83.32
249,2269,P Vasu,90.25
250,2293,Leena Antony,76.75
251,2330,Prathap Pothen,60.38
252,2334,Priyanandanan,59.99
253,2357,Rafi,75.89
254,2358,Raghavan,64.96
255,2372,Rajan P Dev,67.66
256,2375,Rajasekhar,66.74
257,2403,Boss Venkat,57.67
258,2405,Ranjith Shankar,77.9
259,2420,Revathy,71.59
260,2425,Rosshan Andrrews,71.38
261,2441,Ashwin Mathew,62.86
262,2465,Saji Surendran,24.91
263,2468,Salim Baba,70.5
264,2478,Sanjay,65.14
265,2488,Sarathchandran Wayanad,60.59
266,2498,Satheesh Pothuval,74.7
267,2518,Shobi Thilakan,56.26
268,2520,Shanker,51.39
269,2526,KK Sudhakaran,45.12
270,2533,Sibi Malayil,82.65
271,2534,Siddique,65.15
272,2539,Siva,69.66
273,2545,Sohan Seenulal,66.68
274,2561,Kaviraj,74.88
275,2565,PP Subair,70.52
276,2583,Suresh Krishna,64.41
277,2585,Suresh Menon,23.4
278,2611,TV Chandran,72.89
279,2617,Thampi Kannanthanam,52.8
280,2618,Thejas Perumanna,55.04
281,2625,Thulasidas,28.7
282,2637,Zarina Wahab,60.82
283,2649,VK Prakash,71.26
284,2651,VM Vinu,48.14
285,2653,Vishnu Priyan,72.8
286,2665,Vaisakh,72.21
287,2679,Vijay Menon,61
288,2680,Vijay P Nair,30
289,2687,Viji Thampy,57.5
290,2688,Vikram,81.78
291,2717,Laila,89.3
292,2731,D Philip,92.16
293,2732,Venu Nariyapuram,41.04
294,2735,Dr Rony David,69.67
295,2736,Prajin,48.75
296,2739,Sanju Sivaram,56.74
297,2740,Sakshi Sharma,32.8
298,2744,John Paul,64.67
299,2746,Master Sanoop Santhosh,60.88
300,2761,Praveen Prem,56.68
301,2762,Navaneeth Madhav,52.92
302,2763,Meghna Nair,57.62
303,2766,Ashok Raj,32
304,2768,Noushad,66.75
305,2771,Jayan Mangalamkunnu,84.6
306,2773,Ahaana Krishna,71.38
307,2776,Adwaith Jayasurya,69.82
308,2778,SP Sreekumar,55.4
309,2779,Sandra Saimon,43.2
310,2781,Jaise Jose,59.36
311,2784,Chithra Shenoy,76.52
312,2788,Baburaj Kalambooru,66.22
313,2798,Aarya Rohit,63.1
314,2799,Kainat Arora,55.76
315,2806,Tony,50.42
316,2813,Anu Joseph,73.13
317,2823,Shilpa Raj,77.9
318,2825,Deepak Parambol,71.06
319,2826,Eloor George,70.1
320,2831,Bibin George,69.65
321,2864,Anoop Ramesh,53.77
322,2871,Riyas Narmakala,38.4
323,2872,Alwin Antony,77.08
324,2895,Manivannan,80.1
325,2896,Paravai Muniyamma,69.15
326,2898,Sidharth (Tamil),59.13
327,2907,Antony Perumbavoor,68.73
328,2908,Santhanam,51.26
329,2913,RajKumar,53.25
330,2927,Basil,55.69
331,2930,Sukanya (New),75.11
332,2944,Sumith Samudra,55.08
333,2957,John Kokken,56.71
334,2962,Rakendu,61.32
335,2965,Baiju Ezhupunna,68.16
336,2980,Arunoday Singh,65.36
337,2985,Biju John,71.38
338,2986,Rana Daggubati,68.54
339,2998,Gouri Krishna,72.75
340,3016,Chandini Sreedharan,76.54
341,3029,Chandrakala (New),67.68
342,3030,Sudheer Paroor,78.26
343,3034,Ponnambalam,84
344,3035,Sudeep,78.26
345,3038,Hareesh Kanaran,63.9
346,3040,Jomon,44.17
347,3041,Prakash Nath,42.33
348,3054,Kumarji Ponnadu,62.56
349,3056,Jude Antony Joseph,68.01
350,3057,Madhan Bob,74.24
351,3060,Aneesh G Menon,66.55
352,3063,Jijesh Menon,32.8
353,3066,Basil Thomas,60.67
354,3069,Vinod Kumar (VK),32.8
355,3072,Thamanna,74.82
356,3074,Unni Thrippunithura,63.96
357,3080,Shruti Ramachandran,70.91
358,3085,Sathi Premji,66.75
359,3091,Balaji Sharma,62.23
360,3115,Nyra Banerjee,48.99
361,3124,Catherine Tressa,55.41
362,3140,Nandhu Madhav,74.88
363,3153,Prasanth Narayanan,47.74
364,3156,Sarath Chandran,78.3
365,3157,Adithya Ayotta,67.24
366,3162,Gilu Joseph,73.21
367,3167,Udaykrishna,74.81
368,3171,Gokulam Gopalan,75.68
369,3175,Sidharth Menon,78.3
370,3178,Divya Pillai,70.52
371,3204,Nirmal,45.6
372,3205,Kishor,58.15
373,3208,Niranj Suresh,77.43
374,3216,Ashkar Soudan,34.4
375,3231,Nimisha Suresh,46.2
376,3241,Sumesh,43.68
377,3243,Sidhartha Basu,60
378,3245,Vijayan Karanthoor,63.15
379,3254,Jeeva,83.94
380,3255,Anand Bodh,31.2
381,3264,Anjelleena Rosshan,60.75
382,3292,Sreekala Sasidharan,45.11
383,3302,Akhila Kishor,55.76
384,3321,Reenu Mathews,74.18
385,3330,Shaun Romy,71.64
386,3334,Amalda Liz Joseph,80.61
387,3336,Arun Omana Sadanandan,51.84
388,3345,Varalakshmi Sarathkumar,59.13
389,3346,Neha Saxena,65.76
390,3348,Kalaranjini,63.17
391,3349,Nithin Renji Panicker,46.77
392,3379,Kottayam Nazeer,51.51
393,3395,Master Abin,56.7
394,3397,Raj Kapoor,79.62
395,3422,Arvind Venugopal,82.8
396,3434,Rupa Manjari,52.6
397,3442,Kancha Karuppu,74.52
398,3445,MO Devasya,9.84
399,3455,Vishnu Vinay,53.32
400,3461,MS Nazeer,65.8
401,3464,Satheesh Vettikkavala,39.4
402,3468,Vishnu Govind,65.6
403,3473,Sushin Shyam,75.72
404,3489,Maniyanpilla Raju,63.83
405,3494,Jeo Baby,83.52
406,3504,Menaka Sureshkumar,45.15
407,3505,Adam Ayoob,58.29
408,3517,Premji Amaren,74.88
409,3520,Gazal Khan,65.41
410,3524,Sajini Zacharia,66.3
411,3528,Manju Raghavan,36
412,3550,Vijayakumari,61.92
413,3551,Sheelu Abraham,60.23
414,3552,NB Vindhyan,73.6
415,3559,Rugmini,73.6
416,3582,Dhanya Balakrishnan,50.74
417,3600,Zinil Sainudeen,62.91
418,3602,Amala Rose Kurian,76.36
419,3604,Khalid Rahman,79.12
420,3619,Krishna Shankar,68.73
421,3626,Akshara Kishor,55.82
422,3632,Ameer Niyaz,69.42
423,3633,Sruthy Hariharan,63.08
424,3636,Rajeev Kovilakam,81.78
425,3645,Hesham Abdul Wahab,61.92
426,3648,RajeshB,32.8
427,3682,Shaheen Siddique,61.82
428,3689,Balan Parakkal,54.81
429,3692,Janaki Krishnan,72.8
430,3697,Govind Krishna,28
431,3701,Tisca Chopra,77.08
432,3702,Gayathri Suresh,68.8
433,3707,Prakash Bare,59.47
434,3711,Prathapachandran,63.1
435,3731,Kainakari Thangaraj,69.05
436,3746,Master Gourav Menon,56.37
437,3748,Krishnan Balakrishnan,66.49
438,3755,Lakshmipriya Chandramouli,48.8
439,3758,Divya,62.06
440,3772,Gokul Suresh,65.93
441,3774,Pearle Maaney,66.66
442,3776,Abhirami Suresh,61.67
443,3777,Veena Nair,57.94
444,3780,Mareena Michael Kurisingal,70.44
445,3811,Manesh Krishnan,58.88
446,3847,Rahul Dev,58.07
447,3890,Krish J Sathar,52.26
448,3899,Suresh Kurup,55.2
449,3903,Malavika Sai (Malavika Nair),67.51
450,3906,Sasi Ayyanchira,33.21
451,3911,Sathar,63.25
452,3919,Anil Radhakrishnan Menon,70.13
453,3924,Shaji Natesan,74.19
454,3932,CK Padmanabhan,48.95
455,3942,Sashi Kumar,69.24
456,3952,Deepti Sati,73.53
457,3957,Sneha Sreekumar,58.75
458,3959,Basil Joseph ,77.02
459,3965,PC George,30.89
460,3976,Baby Ahana Jagari,48.06
461,3977,Baby Anagha,39.03
462,3980,Minon,57.01
463,3983,Josukutty Valiyakallumkal,57.76
464,3993,Dakshina,38.54
465,3997,Nikhila Vimal,76.84
466,4027,Vipin Atley,82.8
467,4028,G Suresh Kumar,71.26
468,4033,Vayyapuri,63.6
469,4044,Anushka Shetty,72.44
470,4046,Jewel Mary,58.48
471,4049,Poojitha Menon,58.78
472,4054,Chinnu Kuruvila,64.88
