id,code,name,rating
186,2777,RB Chaudhari,50.63
187,2778,SP Sreekumar,48.6
188,2785,Rejishh Midhila,43.2
189,2787,Viswan,67.24
190,2797,T Haridas,81.7
191,2814,MD Thamizharashan,55.76
192,2817,A Rajan,85.12
193,2819,A Salim,32.64
194,2820,A Shan,70.5
195,2825,Deepak Parambol,28.38
196,2828,AG Abraham,75.05
197,2832,Noushad Alathur,57.17
198,2838,AS Gireesh Lal,56.43
199,2839,AV Anoop,61.64
200,2840,AV Govindankutty,93
201,2841,Sebastine Maliyekkal,31.59
202,2844,Abdul Azeez,60
203,2849,ManuSankar,16.2
204,2863,Ajmal Hassan,17.43
205,2872,Alwin Antony,63.4
206,2873,Jayan K Cheriyan,45.24
207,2883,Rajesh Touchriver,40.56
208,2885,Anand Kumar,57.32
209,2889,Anil Mathew,60.19
210,2893,Rojin Thomas,71.34
211,2900,Anoop,60.06
212,2903,Anto Joseph,66.43
213,2906,Roshni Dinakar,44.37
214,2907,Antony Perumbavoor,73.02
215,2942,B Rakesh,71.99
216,2946,BC Joshi,63
217,2961,Babu Shahir,90
218,2965,Baiju Ezhupunna,63.51
219,2970,Balu Irinjalakuda,49
220,2975,Beena Soman,76.45
221,2976,Benzy Martin,82
222,2982,Bhavageetha,54
223,2983,Bhavani Hariharan,70.2
224,2985,Biju John,41.8
225,2993,C Karunakaran,91.17
226,2996,C Ramkumar,32.4
227,3022,Martin C Joseph,46.17
228,3061,Midhun Manuel Thomas,75.33
229,3070,Santhosh Gopal,8
230,3077,Deva Vijins,32
231,3078,Devadas Mackenchery,68.75
232,3087,Chandrasekhar Yeleti,68.85
233,3118,Visakh G S,57.6
234,3121,Evershine Mani,88.36
235,3129,Firoz,78.35
236,3130,Fr Michael Panachikal,16
237,3131,Nikhil Menon,46.44
238,3133,G Jayakumar,32.9
239,3142,MS Pradeep Kumar,56.33
240,3148,GP Vijayakumar,66.21
241,3156,Sarath Chandran,20.25
242,3163,George Mathew,15
243,3167,Udaykrishna,73.57
244,3168,Girish Vaikom,87.4
245,3171,Gokulam Gopalan,61.18
246,3189,Jessen Joseph,24.3
247,3202,Harikumaran Thampi,26.7
248,3211,Henry Fernandez,57
249,3212,Howli Pottoor,65.26
250,3213,Hussain,91.2
251,3214,Anchal Sreenath,44.55
252,3216,Ashkar Soudan,16.4
253,3222,J Bharath Samuel,33.23
254,3223,J Ligy Pullappally,86.4
255,3230,Jahamgeer Shamz,30.75
256,3232,KA Jaleel,86.4
257,3252,Jeba,48.75
258,3254,Jeeva,68.4
259,3261,Johnny Thomas,56.4
260,3272,Joseph Onisseril,84
261,3275,Joy Thomas Sakthikulangara,61.02
262,3281,K Manoharan,84.55
